sIP,dIP,proto,ct
159.98.24.199,75.122.234.113,6,1
34.42.1.139,139.232.208.73,6,10
39.123.123.114,20.161.124.3,6,20
145.145.120.13,209.128.19.213,6,10
246.216.131.249,152.156.234.94,6,13
112.73.147.197,133.172.80.164,6,12
25.63.243.217,20.2.227.228,6,1
93.199.152.254,61.142.107.246,6,8
193.230.113.96,35.57.125.212,6,8
119.156.185.142,77.142.170.131,6,6
68.222.94.43,238.35.139.98,6,12
127.233.121.23,134.221.164.110,6,16
86.80.118.52,35.31.172.169,6,5
99.207.48.50,206.242.127.79,6,15
222.182.172.24,26.188.189.56,6,11
245.143.145.113,117.138.86.213,6,16
7.187.113.20,195.9.176.211,6,13
4.136.142.187,177.242.14.192,6,19
158.248.232.47,58.60.17.167,6,7
205.189.238.13,166.224.78.85,6,7
210.234.42.224,37.206.213.115,6,5
138.16.174.197,235.13.4.167,6,11
102.187.136.196,45.58.3.10,6,20
93.13.188.200,209.175.76.69,6,4
148.12.71.14,75.192.132.135,6,5
49.250.197.8,80.252.250.2,6,7
142.56.143.25,10.70.199.30,6,14
164.213.76.172,242.104.17.197,6,12
229.145.55.151,170.77.82.234,6,2
173.217.16.151,101.26.107.231,6,7
120.43.52.77,180.127.145.53,6,7
121.54.140.27,243.137.38.148,6,13
238.0.239.135,156.88.59.15,6,9
231.37.180.208,72.91.237.142,6,17
117.204.129.230,245.14.0.142,6,1
76.55.138.21,72.9.111.49,6,14
76.119.221.226,51.112.196.28,6,13
177.52.75.14,57.154.111.226,6,13
52.239.140.30,49.224.137.155,6,7
154.113.215.83,149.196.89.152,6,12
32.148.92.77,239.88.129.103,6,16
202.137.129.74,34.213.154.31,6,16
223.235.177.45,34.92.62.54,6,16
183.27.129.119,126.169.224.152,6,14
116.230.143.1,41.42.224.220,6,19
38.36.141.130,190.118.213.17,6,3
31.120.70.47,65.70.14.219,6,17
118.236.192.34,253.251.208.55,6,9
250.51.32.104,123.225.56.29,6,15
210.179.148.66,118.149.84.217,6,7
21.180.71.204,99.229.238.44,6,11
202.76.70.63,250.131.249.223,6,7
101.193.133.67,231.208.104.138,6,2
254.68.231.245,16.240.166.61,6,2
62.121.35.24,62.43.137.190,6,7
114.109.238.68,50.138.248.40,6,18
61.36.48.227,244.240.76.203,6,14
84.155.14.209,150.185.252.5,6,15
64.216.189.13,31.240.93.103,6,8
64.115.147.183,204.252.7.104,6,15
68.150.16.31,34.199.212.55,6,9
173.226.254.133,90.100.163.198,6,3
101.214.124.172,192.237.146.207,6,9
229.240.221.197,134.135.238.200,6,11
14.188.80.106,143.30.212.101,6,20
199.110.42.143,22.126.227.83,6,2
166.5.88.172,6.200.156.215,6,13
10.163.46.218,195.194.53.71,6,9
251.106.150.65,101.244.209.43,6,1
136.201.56.214,32.64.74.189,6,1
94.226.183.113,108.176.199.82,6,7
20.123.171.88,24.200.202.110,6,19
126.9.207.113,229.172.207.108,6,19
69.141.90.55,22.18.48.118,6,2
153.29.86.126,219.53.233.211,6,9
28.190.246.248,35.1.134.131,6,1
60.39.213.154,65.21.124.211,6,6
62.86.64.163,174.175.5.205,6,7
195.29.55.132,238.185.151.130,6,7
6.217.164.25,201.165.65.150,6,6
91.254.106.201,130.119.212.22,6,18
187.14.211.12,122.54.23.44,6,9
137.210.231.133,239.187.238.74,6,16
134.46.130.92,71.108.93.128,6,1
198.31.218.198,141.228.29.10,6,2
227.22.251.122,202.70.169.53,6,17
99.168.168.189,212.211.41.221,6,12
116.203.56.179,12.126.11.12,6,9
72.28.225.11,195.102.174.92,6,18
183.244.205.57,170.111.126.179,6,14
100.36.96.80,99.193.254.72,6,5
22.139.52.170,80.65.191.197,6,3
201.19.179.68,1.12.253.181,6,12
162.148.102.182,156.1.232.96,6,20
36.130.111.246,85.18.33.244,6,4
210.160.240.119,118.110.162.161,6,19
61.222.130.102,233.157.13.158,6,20
113.1.245.165,94.79.227.232,17,13
70.154.19.140,163.245.192.234,17,19
90.80.189.71,107.86.244.109,17,1
78.240.1.192,216.87.55.21,17,2
44.136.154.109,205.151.236.103,17,2
205.119.89.255,253.1.119.128,17,8
84.251.203.23,69.13.143.14,17,17
217.237.8.253,246.36.40.131,17,5
175.14.150.3,165.113.2.207,17,2
